2026-02-03 13:05:38,866 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 13:05:39,064 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 13:05:39,232 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 13:05:39,447 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 13:05:39,607 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 13:05:39,770 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 13:05:39,936 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 13:05:40,119 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 13:06:24,566 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 13:09:05,666 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 13:09:05,798 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 13:12:23,362 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 13:12:23,514 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 13:12:23,869 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 13:12:24,728 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 13:12:24,948 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 13:12:25,138 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 13:12:25,317 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 13:12:25,491 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 13:12:25,686 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 13:12:25,844 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 13:12:26,046 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 13:14:02,937 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 13:14:03,941 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 13:14:14,837 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 13:14:16,698 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 13:14:17,409 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 13:14:17,858 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 13:14:18,125 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 13:14:18,334 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 13:14:18,528 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 13:14:18,730 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 13:28:27,787 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 13:28:27,956 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 13:28:28,165 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
